[06:06:32]  Logger Initialized
[06:06:33]  [18:06:33] Epoch 1/500: train loss: 0.6806, train accuracy: 0.6533%, test loss: 0.677, test accuracy: 0.6475% | sn[0.5172] sp[0.7778]
[06:06:34]  [18:06:34] Epoch 47/500: train loss: 0.5551, train accuracy: 0.7125%, test loss: 0.5481, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 48/500: train loss: 0.5536, train accuracy: 0.7125%, test loss: 0.5466, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 49/500: train loss: 0.552, train accuracy: 0.7125%, test loss: 0.5451, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 50/500: train loss: 0.5505, train accuracy: 0.7125%, test loss: 0.5437, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:34]  [18:06:34] Epoch 51/500: train loss: 0.549, train accuracy: 0.7125%, test loss: 0.5422, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 52/500: train loss: 0.5474, train accuracy: 0.7125%, test loss: 0.5407, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 53/500: train loss: 0.5459, train accuracy: 0.7125%, test loss: 0.5392, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 54/500: train loss: 0.5443, train accuracy: 0.7125%, test loss: 0.5377, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 55/500: train loss: 0.5427, train accuracy: 0.721%, test loss: 0.5362, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 56/500: train loss: 0.5412, train accuracy: 0.721%, test loss: 0.5347, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 57/500: train loss: 0.5396, train accuracy: 0.7295%, test loss: 0.5332, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 58/500: train loss: 0.538, train accuracy: 0.7295%, test loss: 0.5317, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 59/500: train loss: 0.5365, train accuracy: 0.7295%, test loss: 0.5302, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 60/500: train loss: 0.5349, train accuracy: 0.7295%, test loss: 0.5288, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 61/500: train loss: 0.5334, train accuracy: 0.7295%, test loss: 0.5273, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 62/500: train loss: 0.5318, train accuracy: 0.7295%, test loss: 0.5258, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 63/500: train loss: 0.5302, train accuracy: 0.7295%, test loss: 0.5244, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 64/500: train loss: 0.5287, train accuracy: 0.7295%, test loss: 0.5229, test accuracy: 0.7312% | sn[0.7586] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 65/500: train loss: 0.5272, train accuracy: 0.7295%, test loss: 0.5214, test accuracy: 0.7484% | sn[0.7931] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 66/500: train loss: 0.5256, train accuracy: 0.7389%, test loss: 0.52, test accuracy: 0.7484% | sn[0.7931] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 67/500: train loss: 0.5241, train accuracy: 0.7389%, test loss: 0.5185, test accuracy: 0.7484% | sn[0.7931] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 68/500: train loss: 0.5225, train accuracy: 0.7389%, test loss: 0.5171, test accuracy: 0.7484% | sn[0.7931] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 69/500: train loss: 0.5209, train accuracy: 0.7389%, test loss: 0.5156, test accuracy: 0.7484% | sn[0.7931] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 70/500: train loss: 0.5194, train accuracy: 0.7389%, test loss: 0.5142, test accuracy: 0.7484% | sn[0.7931] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 71/500: train loss: 0.5178, train accuracy: 0.7389%, test loss: 0.5128, test accuracy: 0.7656% | sn[0.8276] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 72/500: train loss: 0.5162, train accuracy: 0.7389%, test loss: 0.5114, test accuracy: 0.7656% | sn[0.8276] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 73/500: train loss: 0.5147, train accuracy: 0.7389%, test loss: 0.51, test accuracy: 0.7656% | sn[0.8276] sp[0.7037]
[06:06:35]  [18:06:35] Epoch 74/500: train loss: 0.5131, train accuracy: 0.7389%, test loss: 0.5085, test accuracy: 0.7656% | sn[0.8276] sp[0.7037]
[06:06:36]  [18:06:36] Epoch 75/500: train loss: 0.5115, train accuracy: 0.7474%, test loss: 0.5071, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 76/500: train loss: 0.51, train accuracy: 0.7474%, test loss: 0.5057, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 77/500: train loss: 0.5084, train accuracy: 0.7474%, test loss: 0.5043, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 78/500: train loss: 0.5069, train accuracy: 0.7474%, test loss: 0.503, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 79/500: train loss: 0.5054, train accuracy: 0.7558%, test loss: 0.5016, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 80/500: train loss: 0.5039, train accuracy: 0.7558%, test loss: 0.5002, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 81/500: train loss: 0.5023, train accuracy: 0.7558%, test loss: 0.4988, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 82/500: train loss: 0.5008, train accuracy: 0.7558%, test loss: 0.4974, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 83/500: train loss: 0.4993, train accuracy: 0.7643%, test loss: 0.496, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 84/500: train loss: 0.4977, train accuracy: 0.7643%, test loss: 0.4946, test accuracy: 0.7644% | sn[0.8621] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 85/500: train loss: 0.4962, train accuracy: 0.7643%, test loss: 0.4933, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 86/500: train loss: 0.4947, train accuracy: 0.7643%, test loss: 0.4919, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 87/500: train loss: 0.4932, train accuracy: 0.7643%, test loss: 0.4906, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 88/500: train loss: 0.4916, train accuracy: 0.7643%, test loss: 0.4892, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 89/500: train loss: 0.4901, train accuracy: 0.7643%, test loss: 0.4879, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 90/500: train loss: 0.4886, train accuracy: 0.7822%, test loss: 0.4866, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 91/500: train loss: 0.4871, train accuracy: 0.7822%, test loss: 0.4853, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 92/500: train loss: 0.4856, train accuracy: 0.7822%, test loss: 0.484, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 93/500: train loss: 0.4841, train accuracy: 0.7822%, test loss: 0.4827, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 94/500: train loss: 0.4826, train accuracy: 0.7822%, test loss: 0.4815, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 95/500: train loss: 0.4811, train accuracy: 0.7822%, test loss: 0.4802, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 96/500: train loss: 0.4797, train accuracy: 0.7907%, test loss: 0.479, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 97/500: train loss: 0.4782, train accuracy: 0.7907%, test loss: 0.4778, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:36]  [18:06:36] Epoch 98/500: train loss: 0.4768, train accuracy: 0.7907%, test loss: 0.4766, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 99/500: train loss: 0.4753, train accuracy: 0.7907%, test loss: 0.4753, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 100/500: train loss: 0.4739, train accuracy: 0.7907%, test loss: 0.4741, test accuracy: 0.7816% | sn[0.8966] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 101/500: train loss: 0.4725, train accuracy: 0.7822%, test loss: 0.473, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 102/500: train loss: 0.471, train accuracy: 0.7822%, test loss: 0.4718, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 103/500: train loss: 0.4696, train accuracy: 0.7822%, test loss: 0.4706, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 104/500: train loss: 0.4682, train accuracy: 0.7822%, test loss: 0.4695, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 105/500: train loss: 0.4668, train accuracy: 0.7822%, test loss: 0.4684, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 106/500: train loss: 0.4655, train accuracy: 0.7728%, test loss: 0.4673, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 107/500: train loss: 0.4641, train accuracy: 0.7728%, test loss: 0.4662, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 108/500: train loss: 0.4627, train accuracy: 0.7728%, test loss: 0.4651, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 109/500: train loss: 0.4614, train accuracy: 0.7728%, test loss: 0.4641, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 110/500: train loss: 0.46, train accuracy: 0.7728%, test loss: 0.463, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 111/500: train loss: 0.4587, train accuracy: 0.7728%, test loss: 0.462, test accuracy: 0.7989% | sn[0.931] sp[0.6667]
[06:06:37]  [18:06:37] Epoch 112/500: train loss: 0.4574, train accuracy: 0.7728%, test loss: 0.461, test accuracy: 0.7803% | sn[0.931] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 113/500: train loss: 0.4561, train accuracy: 0.7907%, test loss: 0.46, test accuracy: 0.7803% | sn[0.931] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 114/500: train loss: 0.4548, train accuracy: 0.7907%, test loss: 0.4591, test accuracy: 0.7803% | sn[0.931] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 115/500: train loss: 0.4535, train accuracy: 0.7907%, test loss: 0.4581, test accuracy: 0.7803% | sn[0.931] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 116/500: train loss: 0.4523, train accuracy: 0.7907%, test loss: 0.4572, test accuracy: 0.7803% | sn[0.931] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 117/500: train loss: 0.451, train accuracy: 0.7907%, test loss: 0.4562, test accuracy: 0.7803% | sn[0.931] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 118/500: train loss: 0.4498, train accuracy: 0.7907%, test loss: 0.4553, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 119/500: train loss: 0.4485, train accuracy: 0.7907%, test loss: 0.4544, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 120/500: train loss: 0.4473, train accuracy: 0.7907%, test loss: 0.4536, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 121/500: train loss: 0.446, train accuracy: 0.8001%, test loss: 0.4527, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 122/500: train loss: 0.4448, train accuracy: 0.8001%, test loss: 0.4519, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 123/500: train loss: 0.4436, train accuracy: 0.8001%, test loss: 0.451, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
[06:06:37]  [18:06:37] Epoch 124/500: train loss: 0.4424, train accuracy: 0.8001%, test loss: 0.4502, test accuracy: 0.7631% | sn[0.8966] sp[0.6296]
